13,35,56,63,50,44,18,90,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,480,528,530,540,552,586,590,609,611,613,614,614,635,638,686,717,749,758,846,487,466,394,351,341,440,384,452,422,340,469,465,507,477,453,435,614,577,554,345,652,605,605,541,539,453,387,517,548,515,424,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,432,511,523,554,559,570,584,590,609,623,647,797,826,496,533,518,472,437,473,586,321,255,512,522,521,449,452,439,596,508,477,460,482,491,497,451,443,439,440,468,445,620,550,484,416,511,479,469,454,407,404,384,371,677,562,536,511,411,549,546,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,548,556,595,610,619,625,625,654,659,719,737,748,753,796,596,536,503,540,493,601,428,592,547,299,458,470,458,499,436,449,565,771,619,570,559,549,476,578,487,484,470,452,721,715,715,704,690,622,622,538,531,531,501,478,459,450,422,387,597,550,493,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,472,563,579,620,641,644,644,661,801,818,832,833,859,1032,668,572,568,533,513,480,477,418,652,335,333,518,513,439,442,597,549,407,423,722,566,566,543,543,520,458,838,565,561,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,629,638,664,672,720,742,792,855,891,893,626,610,580,501,748,587,441,581,460,467,660,792,777,683,617,742,597,761,524,641,614,601,581,510,738,662,658,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,485,534,566,593,595,609,679,744,745,755,759,791,829,944,668,656,572,563,688,584,679,610,668,553,531,601,453,791,681,503,616,659,590,583,581,566,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,630,680,742,785,826,865,867,870,655,586,738,726,661,619,515,842,505,859,850,792,637,626,599,662,650,552,584,657,604,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,643,659,793,829,854,1120,714,687,662,790,653,1004,730,691,657,874,595,694,636,620,604,590,786,605,556,723,690,676,644,573,573,691,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,602,727,792,795,885,889,894,866,600,582,624,769,908,941,939,898,692,674,621,657,656,797,614,805,749,619,616,602,990,666,600,824,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,729,911,647,822,648,646,715,957,778,709,881,712,709,852,712,677,675,739,674,634,604,567,748,726,571,947,863,790,722,661,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,801,970,1062,813,637,845,817,755,924,919,864,702,679,1019,888,845,751,677,765,915,816,682,663,965,712,702,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,856,983,1020,1023,1043,1049,822,664,582,637,972,713,985,786,752,714,701,693,1012,717,644,618,963,930,818,802,799,808,731,677,837,766,741,830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,646,757,907,1006,1020,1165,1222,1006,972,632,959,905,875,762,654,1108,766,1024,897,849,778,766,927,897,842,814,811,712,1010,874,846,815,730,710,639,855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,956,842,839,836,961,957,795,650,1093,992,968,951,887,811,768,765,799,708,699,965,960,839,821,724,977,896,696,956,926,828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1089,1219,1048,1163,1093,1073,1038,996,967,966,906,885,852,848,846,842,830,777,767,766,758,725,682,635,1069,1047,1026,1017,1005,991,852,963,955,800,775,890,1005,946,933,919,876,875,824,808,741,728,1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

